QueryId, Iteration, DocId, Relevance
Q01, 1, D00030.txt, 1
Q01, 1, D00623.txt, 1
Q01, 1, D00048.txt, 1
Q01, 1, S00912.txt, 1
Q01, 1, D00539.txt, 1
Q01, 1, D00920.txt, 1
Q01, 1, L00150.txt, 1
Q01, 1, D00187.txt, 1
Q01, 1, D00553.txt, 1
Q01, 1, D00828.txt, 1
Q02, 1, M00306.txt, 1
Q02, 1, M00304.txt, 1
Q02, 1, M00305.txt, 1
Q02, 1, M00254.txt, 1
Q02, 1, M00255.txt, 1
Q02, 1, M00310.txt, 1
Q02, 1, M00311.txt, 1
Q02, 1, C00064.txt, 1
Q02, 1, C00073.txt, 1
Q02, 1, M00272.txt, 1
Q03, 1, P_591.txt, 1
Q03, 1, P_206.txt, 1
Q03, 1, P_797.txt, 1
Q03, 1, P01189.txt, 1
Q03, 1, P_445.txt, 1
Q03, 1, P_192.txt, 1
Q03, 1, P_705.txt, 1
Q03, 1, P_341.txt, 1
Q03, 1, P_415.txt, 1
Q03, 1, P_492.txt, 1
Q04, 1, P02130.txt, 1
Q04, 1, P02131.txt, 1
Q04, 1, P03126.txt, 1
Q04, 1, P02052.txt, 1
Q04, 1, P03111.txt, 1
Q04, 1, P03046.txt, 1
Q04, 1, P03099.txt, 1
Q04, 1, P03034.txt, 1
Q04, 1, P03088.txt, 1
Q04, 1, P02050.txt, 1
Q05, 1, R00420.txt, 1
Q05, 1, P_564.txt, 1
Q05, 1, P01157.txt, 1
Q05, 1, P_147.txt, 1
Q05, 1, P04070.txt, 1
Q05, 1, P_565.txt, 1
Q05, 1, P_851.txt, 1
Q05, 1, P_28.txt, 1
Q05, 1, P_428.txt, 1
Q05, 1, P04052.txt, 1
Q06, 1, S00344.txt, 1
Q06, 1, D00069.txt, 1
Q06, 1, S00039.txt, 1
Q06, 1, S00158.txt, 1
Q06, 1, S00377.txt, 1
Q06, 1, S00333.txt, 1
Q06, 1, S00115.txt, 1
Q06, 1, D00682.txt, 1
Q06, 1, S00356.txt, 1
Q06, 1, S00002.txt, 1
Q07, 1, S00258.txt, 1
Q07, 1, T00144.txt, 1
Q07, 1, T00220.txt, 1
Q07, 1, T00545.txt, 1
Q07, 1, S00070.txt, 1
Q07, 1, T00542.txt, 1
Q07, 1, P02015.txt, 1
Q07, 1, T00133.txt, 1
Q07, 1, T00450.txt, 1
Q07, 1, T00434.txt, 1
Q08, 1, T01262.txt, 1
Q08, 1, T00754.txt, 1
Q08, 1, T01261.txt, 1
Q08, 1, T01252.txt, 1
Q08, 1, T00465.txt, 1
Q08, 1, T00903.txt, 1
Q08, 1, T00902.txt, 1
Q08, 1, T00342.txt, 1
Q08, 1, T00372.txt, 1
Q08, 1, T00282.txt, 1
Q09, 1, T00160.txt, 1
Q09, 1, T00027.txt, 1
Q09, 1, T00184.txt, 1
Q09, 1, T00039.txt, 1
Q09, 1, T00248.txt, 1
Q09, 1, T00637.txt, 1
Q09, 1, T00626.txt, 1
Q09, 1, T00632.txt, 1
Q09, 1, T00044.txt, 1
Q09, 1, T00513.txt, 1
Q10, 1, S00371.txt, 1
Q10, 1, C00654.txt, 1
Q10, 1, S00162.txt, 1
Q10, 1, S00415.txt, 1
Q10, 1, M00068.txt, 1
Q10, 1, C00302.txt, 1
Q10, 1, C00319.txt, 1
Q10, 1, C00145.txt, 1
Q10, 1, C00322.txt, 1
Q10, 1, C00372.txt, 1
Q11, 1, R00350.txt, 1
Q11, 1, R00460.txt, 1
Q11, 1, R00462.txt, 1
Q11, 1, R00466.txt, 1
Q11, 1, T00518.txt, 1
Q11, 1, R00132.txt, 1
Q11, 1, R00126.txt, 1
Q11, 1, S00450.txt, 1
Q11, 1, S00122.txt, 1
Q11, 1, R00506.txt, 1
Q12, 1, P06045.txt, 1
Q12, 1, P_595.txt, 1
Q12, 1, P06019.txt, 1
Q12, 1, P04063.txt, 1
Q12, 1, P06059.txt, 1
Q12, 1, P03019.txt, 1
Q12, 1, P04029.txt, 1
Q12, 1, P06048.txt, 1
Q12, 1, P_643.txt, 1
Q12, 1, P02097.txt, 1
Q13, 1, P02205.txt, 1
Q13, 1, P02177.txt, 1
Q13, 1, P02174.txt, 1
Q13, 1, P03126.txt, 1
Q13, 1, P02206.txt, 1
Q13, 1, P03113.txt, 1
Q13, 1, P02044.txt, 1
Q13, 1, P02179.txt, 1
Q13, 1, P03128.txt, 1
Q13, 1, P02173.txt, 1
Q14, 1, L00342.txt, 1
Q14, 1, L00427.txt, 1
Q14, 1, L00308.txt, 1
Q14, 1, L00469.txt, 1
Q14, 1, L00262.txt, 1
Q14, 1, L00193.txt, 1
Q14, 1, L00298.txt, 1
Q14, 1, L00015.txt, 1
Q14, 1, L00108.txt, 1
Q14, 1, L00377.txt, 1
Q15, 1, L00103.txt, 1
Q15, 1, L00018.txt, 1
Q15, 1, L00016.txt, 1
Q15, 1, L00109.txt, 1
Q15, 1, L00467.txt, 1
Q15, 1, T00010.txt, 1
Q15, 1, L00006.txt, 1
Q15, 1, L00191.txt, 1
Q15, 1, S00222.txt, 1
Q15, 1, L00376.txt, 1
Q16, 1, D00312.txt, 1
Q16, 1, D00699.txt, 1
Q16, 1, D00612.txt, 1
Q16, 1, D00854.txt, 1
Q16, 1, D00347.txt, 1
Q16, 1, D00569.txt, 1
Q16, 1, D00812.txt, 1
Q16, 1, D00154.txt, 1
Q16, 1, D00433.txt, 1
Q16, 1, D00325.txt, 1
Q17, 1, D00538.txt, 1
Q17, 1, D00579.txt, 1
Q17, 1, D00884.txt, 1
Q17, 1, D00790.txt, 1
Q17, 1, D00695.txt, 1
Q17, 1, C00008.txt, 1
Q17, 1, D00139.txt, 1
Q17, 1, D00833.txt, 1
Q17, 1, C00344.txt, 1
Q17, 1, D00539.txt, 1
Q18, 1, C00383.txt, 1
Q18, 1, C00423.txt, 1
Q18, 1, C00326.txt, 1
Q18, 1, M00028.txt, 1
Q18, 1, C00376.txt, 1
Q18, 1, C00756.txt, 1
Q18, 1, C00513.txt, 1
Q18, 1, M00177.txt, 1
Q18, 1, L00403.txt, 1
Q18, 1, P01017.txt, 1
Q19, 1, D00170.txt, 1
Q19, 1, D00581.txt, 1
Q19, 1, D00779.txt, 1
Q19, 1, D00092.txt, 1
Q19, 1, D00577.txt, 1
Q19, 1, D00941.txt, 1
Q19, 1, D00100.txt, 1
Q19, 1, D00457.txt, 1
Q19, 1, D00925.txt, 1
Q19, 1, D00395.txt, 1
Q20, 1, R00324.txt, 1
Q20, 1, C00504.txt, 1
Q20, 1, L00333.txt, 1
Q20, 1, D00391.txt, 1
Q20, 1, C00109.txt, 1
Q20, 1, P_1916.txt, 1
Q20, 1, T00652.txt, 1
Q20, 1, P_257.txt, 1
Q20, 1, P_1401.txt, 1
Q20, 1, L00028.txt, 1
